District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Households
485,GUJARAT,Dohad,2127086,1068651,1058435,1007171,599035,408136,2045243,66353,9907,493,260,3331,114,1385,323697,52807,376504
486,GUJARAT,Vadodara,4165626,2153736,2011890,2893080,1614087,1278993,3713941,384579,23813,9340,2069,27650,1124,3110,547454,692971,1240425
487,GUJARAT,Narmada,590297,301086,289211,370336,211767,158569,559848,22600,4413,147,80,373,2078,758,138121,22248,160369
488,GUJARAT,Bharuch,1551019,805707,745312,1118276,623047,495229,1188204,343511,9494,1733,442,4813,342,2480,300677,181319,481996
489,GUJARAT,The Dangs,228291,113821,114470,140968,77314,63654,203545,3593,20029,69,32,39,560,424,52102,7516,59618
490,GUJARAT,Navsari,1329672,678165,651507,1001909,539471,462438,1225087,78669,5733,2459,601,13386,2823,914,267739,141417,409156
491,GUJARAT,Valsad,1705678,887222,818456,1170657,655528,515129,1571147,94034,19661,1589,913,13809,1417,3108,262410,235981,498391
492,GUJARAT,Surat,6081322,3402224,2679098,4571410,2687468,1883942,5260193,660772,21052,5703,12902,112835,3920,3945,369840,1529998,1899838
493,GUJARAT,Tapi,807022,402188,404834,490036,269007,221029,725890,22309,52930,239,1476,1828,408,1942,192272,26217,218489
494,DAMAN AND DIU,Diu,52074,25642,26432,38058,20327,17731,48613,3190,202,3,1,43,0,22,9788,9062,18850
495,DAMAN AND DIU,Daman,191173,124659,66514,150348,104316,46032,171537,16087,2618,169,216,244,79,223,10006,61073,71079
496,DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,193760,149949,223230,142521,80709,322857,12922,5113,217,634,1186,293,487,48221,60562,108783
497,MAHARASHTRA,Nandurbar,1648295,833170,815125,906509,512099,394410,1521618,96182,8467,685,4969,6191,2907,7276,333440,71572,405012
498,MAHARASHTRA,Dhule,2050862,1054031,996831,1293916,723388,570528,1825460,187901,3653,1422,13405,12818,912,5291,382777,146013,528790
499,MAHARASHTRA,Jalgaon,4229917,2197365,2032552,2891882,1629223,1262659,3457615,560261,7091,3091,143865,27404,9662,20928,796223,373565,1169788
500,MAHARASHTRA,Buldana,2586258,1337560,1248698,1879874,1048892,830982,1845424,354236,3531,1668,364229,12242,522,4406,575405,152787,728192
501,MAHARASHTRA,Akola,1813906,932334,881572,1411281,758977,652304,1107809,357253,4483,1504,328033,10205,389,4230,308158,196077,504235
502,MAHARASHTRA,Washim,1197160,620302,576858,869917,487703,382214,859949,142672,1707,518,179330,8476,381,4127,274925,55921,330846
503,MAHARASHTRA,Amravati,2888445,1480768,1407677,2251875,1207104,1044771,2055177,421410,7223,2242,383891,11360,3288,3854,508921,272894,781815
504,MAHARASHTRA,Wardha,1300774,668385,632389,1019458,552617,466841,1057096,53854,2696,2147,175417,5663,2254,1647,268486,120218,388704
505,MAHARASHTRA,Nagpur,4653570,2384975,2268595,3673808,1959220,1714588,3492202,390974,34667,20469,668050,24528,12181,10499,430844,877522,1308366
506,MAHARASHTRA,Bhandara,1200334,605520,594814,899860,488709,411151,1009352,26502,2145,831,154458,1017,3555,2474,283843,72575,356418
507,MAHARASHTRA,Gondiya,1322507,661554,660953,1004243,542837,461406,1153861,26157,1827,2160,125282,1568,5080,6572,319702,66813,386515
508,MAHARASHTRA,Gadchiroli,1072942,541328,531614,708365,395110,313255,927411,21063,3872,681,82695,454,30047,6719,293586,37254,330840
509,MAHARASHTRA,Chandrapur,2204307,1123834,1080473,1578615,872565,706050,1780085,92297,10701,5251,286734,3861,23188,2190,451324,233331,684655
510,MAHARASHTRA,Yavatmal,2772348,1419965,1352383,2022574,1115980,906594,2251401,239236,4567,1596,249874,11422,3745,10507,629243,168889,798132
511,MAHARASHTRA,Nanded,3361292,1730075,1631217,2189425,1255222,934203,2501741,471951,3902,13540,354189,5049,1273,9647,591119,230563,821682
512,MAHARASHTRA,Hingoli,1177345,606294,571051,790743,450551,340192,863199,127552,992,643,176679,5278,103,2899,242456,41913,284369
513,MAHARASHTRA,Parbhani,1836086,942870,893216,1157814,666291,491523,1328385,306364,2081,1371,187899,6238,262,3486,293480,133759,427239
514,MAHARASHTRA,Jalna,1959046,1011473,947573,1195523,699428,496095,1504641,274221,12542,1629,152540,9619,336,3518,404746,98084,502830
515,MAHARASHTRA,Aurangabad,3701282,1924469,1776813,2503837,1430936,1072901,2545438,786677,15991,5142,309093,30981,1005,6955,551789,427343,979132
516,MAHARASHTRA,Nashik,6107187,3157186,2950001,4345366,2397538,1947828,5237009,693052,23946,8912,94783,38212,1795,9478,904661,764271,1668932
517,MAHARASHTRA,Thane,11060148,5865078,5195070,8227161,4591396,3635765,8716055,1355630,280700,39149,449617,172052,9862,37083,713994,2904157,3618151
518,MAHARASHTRA,Mumbai Suburban,9356962,5031323,4325639,7575485,4223029,3352456,6337132,1795788,322476,47288,469568,343639,18345,22726,0,3078829,3078829
519,MAHARASHTRA,Mumbai,3085411,1684608,1400803,2509022,1410680,1098342,1873762,773173,84555,13471,134257,166000,31094,9099,0,1107321,1107321
520,MAHARASHTRA,Raigarh,2634200,1344345,1289855,1939994,1059692,880302,2239370,227465,17452,7477,121791,12260,1159,7226,581868,377160,959028
521,MAHARASHTRA,Pune,9429408,4924105,4505303,7171723,3940210,3231513,8090254,673704,134192,27090,340404,127786,9873,26105,1165718,2056739,3222457
522,MAHARASHTRA,Ahmadnagar,4543159,2342825,2200334,3151890,1773355,1378535,4107143,320743,22766,5431,33898,38718,1408,13052,1041393,282011,1323404
523,MAHARASHTRA,Bid,2585049,1349106,1235943,1718507,987185,731322,2174672,320395,2097,824,68482,8719,399,9461,563114,135457,698571
524,MAHARASHTRA,Latur,2454196,1273140,1181056,1650672,932432,718240,2006984,367664,2387,935,66535,6387,310,2994,428616,157016,585632
525,MAHARASHTRA,Osmanabad,1657576,861535,796041,1137810,644304,493506,1437623,178925,942,340,28216,4530,195,6805,367158,77832,444990
526,MAHARASHTRA,Solapur,4317756,2227852,2089904,2910676,1651266,1259410,3795424,441254,9882,1279,35497,28134,568,5718,779929,376302,1156231
527,MAHARASHTRA,Satara,3003741,1510842,1492899,2225694,1201034,1024660,2691952,146970,4408,1182,141315,12810,676,4428,774522,200949,975471
528,MAHARASHTRA,Ratnagiri,1615069,761121,853948,1199392,619012,580380,1307211,187197,1990,230,113467,3347,95,1532,538538,100824,639362
529,MAHARASHTRA,Sindhudurg,849651,417332,432319,666067,348289,317778,780384,26264,15471,219,24762,1046,53,1452,295847,44989,340836
530,MAHARASHTRA,Kolhapur,3876001,1980658,1895343,2825845,1559760,1266085,3379906,286558,15573,1570,29766,154882,1274,6472,796496,382818,1179314
531,MAHARASHTRA,Sangli,2822143,1435728,1386415,2049467,1121550,927917,2440312,239607,9098,1260,38210,87453,769,5434,626872,226801,853673
532,ANDHRA PRADESH,Adilabad,2741239,1369597,1371642,1483347,856350,626997,2399901,275970,15422,1377,25510,617,322,22120,597466,220248,817714
533,ANDHRA PRADESH,Nizamabad,2551335,1250641,1300694,1389810,790214,599596,2123426,391596,19653,2357,1847,542,146,11768,565165,155133,720298
534,ANDHRA PRADESH,Karimnagar,3776269,1880800,1895469,2206829,1257238,949591,3491139,244723,24979,2086,332,312,115,12583,877236,288044,1165280
535,ANDHRA PRADESH,Medak,3033288,1523030,1510258,1637137,953406,683731,2637313,342449,34301,1309,554,457,217,16688,593653,195479,789132
536,ANDHRA PRADESH,Hyderabad,3943323,2018575,1924748,2892155,1542688,1349467,2046051,1713405,87522,11446,1268,19560,1929,62142,0,1066289,1066289
537,ANDHRA PRADESH,Rangareddy,5296741,2701008,2595733,3538028,1948784,1589244,4458858,617518,144037,8062,2041,3536,1629,61060,432098,1129224,1561322
538,ANDHRA PRADESH,Mahbubnagar,4053028,2050386,2002642,1940646,1158386,782260,3673456,334172,21345,658,290,388,267,22452,848963,161052,1010015
539,ANDHRA PRADESH,Nalgonda,3488809,1759772,1729037,2001019,1160757,840262,3249231,188646,35025,937,241,250,132,14347,833504,197433,1030937
540,ANDHRA PRADESH,Warangal,3512576,1759281,1753295,2065023,1179790,885233,3273755,197333,31377,1453,253,569,126,7710,758738,288249,1046987
541,ANDHRA PRADESH,Khammam,2797370,1390988,1406382,1630234,901640,728594,2595321,158887,33463,655,217,459,539,7829,669262,201363,870625
542,ANDHRA PRADESH,Srikakulam,2703114,1341738,1361376,1495381,857824,637557,2666950,9025,18879,193,77,160,106,7724,752752,149684,902436
543,ANDHRA PRADESH,Vizianagaram,2344474,1161477,1182997,1238388,707503,530885,2299129,16423,17853,380,114,815,183,9577,592458,157056,749514
544,ANDHRA PRADESH,Visakhapatnam,4290589,2138910,2151679,2568249,1422878,1145371,4105320,86330,77607,2301,850,2316,286,15579,718847,660493,1379340
545,ANDHRA PRADESH,East Godavari,5154296,2569688,2584608,3288577,1716933,1571644,4983330,77777,77825,738,413,4149,403,9661,1199479,406362,1605841
546,ANDHRA PRADESH,West Godavari,3936966,1964918,1972048,2652389,1379223,1273166,3733191,86142,109120,288,209,1578,211,6227,1007255,248373,1255628
547,ANDHRA PRADESH,Krishna,4517398,2267375,2250023,3009718,1598959,1410759,4023678,307043,145598,1393,863,6320,906,31597,909292,567042,1476334
548,ANDHRA PRADESH,Guntur,4887813,2440521,2447292,2960441,1634726,1325715,4217597,559770,89763,764,323,3282,332,15982,1069877,513113,1582990
549,ANDHRA PRADESH,Prakasam,3397448,1714764,1682684,1904435,1107686,796749,3150195,220654,18775,266,97,204,206,7051,873486,214089,1087575
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,1492974,1470583,1832189,1011922,820267,2639737,288378,26202,678,239,2610,146,5567,689137,264376,953513
551,ANDHRA PRADESH,Y.S.R.,2882469,1451777,1430692,1716766,994699,722067,2391231,454108,23281,367,105,751,245,12381,590589,293504,884093
552,ANDHRA PRADESH,Kurnool,4053463,2039227,2014236,2127161,1246369,880792,3328380,670737,33165,737,255,2235,434,17520,783853,306982,1090835
553,ANDHRA PRADESH,Anantapur,4081148,2064495,2016653,2310960,1338474,972486,3599372,443456,20463,932,341,1417,309,14858,902997,341431,1244428
554,ANDHRA PRADESH,Chittoor,4174064,2090204,2083860,2667878,1484794,1183084,3737588,397870,24129,867,253,1322,358,11677,907970,395900,1303870
555,KARNATAKA,Belgaum,4779661,2423063,2356598,3052032,1725548,1326484,4038331,528412,18418,2037,1086,178310,149,12918,962777,356198,1318975
556,KARNATAKA,Bagalkot,1889752,950111,939641,1113412,641388,472024,1634229,219991,3433,443,412,25198,166,5880,324799,165858,490657
557,KARNATAKA,Bijapur,2177331,1111022,1066309,1248268,730566,517702,1786830,369588,2433,558,374,8665,499,8384,396449,131041,527490
558,KARNATAKA,Bidar,1703300,870665,832635,1042673,597198,445475,1289709,335184,35438,1145,30453,680,521,10170,287134,102269,389403
559,KARNATAKA,Raichur,1928812,964511,964301,979769,577213,402556,1634062,272022,10394,538,2265,4156,29,5346,330446,125402,455848
560,KARNATAKA,Koppal,1389920,699926,689994,809085,468785,340300,1218024,161770,4081,296,85,2898,461,2305,272968,64681,337649
561,KARNATAKA,Gadag,1064570,537147,527423,700177,397178,302999,907750,143665,3432,231,79,5993,74,3346,180066,111906,291972
562,KARNATAKA,Dharwad,1847023,937206,909817,1301664,711776,589888,1390020,386834,28747,1486,715,29037,2748,7436,199707,283397,483104
563,KARNATAKA,Uttara Kannada,1437169,726256,710913,1081906,582099,499807,1187306,187974,44530,305,12804,3624,64,562,334281,140511,474792
564,KARNATAKA,Haveri,1597668,819128,778540,1085443,603793,481650,1281878,297927,2406,419,68,9834,702,4434,315076,98488,413564
565,KARNATAKA,Bellary,2452595,1236954,1215641,1421621,813440,608181,2103633,320834,14014,1029,284,8044,54,4703,371604,251876,623480
566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,607188,480204,1520553,128751,3175,322,84,3778,128,2665,349704,97644,447348
567,KARNATAKA,Davanagere,1945497,986400,959097,1308540,720637,587903,1658465,265805,5420,307,164,6417,1743,7176,354680,176011,530691
568,KARNATAKA,Shimoga,1752753,877415,875338,1263016,674938,588078,1479424,234664,26521,400,120,9234,367,2023,352444,201662,554106
569,KARNATAKA,Udupi,1177361,562131,615230,926429,465704,460725,1009179,96740,65838,232,161,4534,155,522,269817,115572,385389
570,KARNATAKA,Chikmagalur,1137961,566622,571339,818345,438257,380088,1004553,101235,26000,182,109,4710,4,1168,311660,80766,392426
571,KARNATAKA,Tumkur,2678980,1350594,1328386,1813391,1006024,807367,2413812,245923,9130,477,187,5067,161,4223,685443,204799,890242
572,KARNATAKA,Bangalore,9621551,5022661,4598890,7512276,4078041,3434235,7725070,1248294,504863,13254,5531,83090,498,40951,300576,2967384,3267960
573,KARNATAKA,Mandya,1805769,905085,900684,1149649,638668,510981,1712695,77801,8506,322,299,3607,109,2430,458867,103435,562302
574,KARNATAKA,Hassan,1776421,883667,892754,1225256,668836,556420,1630814,120011,15611,289,623,5820,3,3250,496103,132878,628981
575,KARNATAKA,Dakshina Kannada,2089649,1034714,1054935,1666323,864019,802304,1403854,501896,171398,525,445,10397,138,996,332919,317373,650292
576,KARNATAKA,Kodagu,554519,274608,279911,412877,215302,197575,448986,87274,17130,139,126,250,220,394,181182,31792,212974
577,KARNATAKA,Mysore,3001127,1511600,1489527,1962180,1063766,898414,2631985,290549,39361,1255,16194,14419,493,6871,540596,380386,920982
578,KARNATAKA,Chamarajanagar,1020791,512231,508560,565279,312957,252322,942071,47210,22183,136,4872,761,140,3418,262680,57200,319880
579,KARNATAKA,Gulbarga,2566326,1301755,1264571,1427368,828359,599009,2011014,513125,8344,826,9589,4865,330,18233,400704,199303,600007
580,KARNATAKA,Yadgir,1174271,590329,583942,510003,306751,203252,997974,155340,8677,331,7970,1519,996,1464,207787,55208,262995
581,KARNATAKA,Kolar,1536401,776396,760005,1016219,564110,452109,1305431,199873,26722,253,150,2494,92,1386,326567,151042,477609
582,KARNATAKA,Chikkaballapura,1255104,636437,618667,783222,442158,341064,1100131,147810,4684,264,85,975,77,1078,315649,94053,409702
583,KARNATAKA,Bangalore Rural,990923,509172,481751,688749,385311,303438,890429,92252,5368,389,272,1045,85,1083,231052,95410,326462
584,KARNATAKA,Ramanagara,1082636,548008,534628,674758,378461,296297,959260,114311,6390,383,104,859,57,1272,266950,84834,351784
585,GOA,North Goa,818008,416677,401331,663060,351738,311322,622213,57941,134169,618,553,546,166,1802,115859,209230,325089
586,GOA,South Goa,640537,322463,318074,502427,264085,238342,341664,63623,231961,855,542,563,92,1237,88620,162873,251493
587,LAKSHADWEEP,Lakshadweep,64473,33123,31350,52553,28023,24530,1788,62268,317,8,10,11,7,64,5289,15953,21242
588,KERALA,Kasaragod,1307375,628613,678762,1037492,516476,521016,729987,486913,87454,151,362,130,152,2226,251641,166164,417805
589,KERALA,Kannur,2523003,1181446,1341557,2138434,1012956,1125478,1509592,742483,262526,424,1118,193,722,5945,306288,566191,872479
590,KERALA,Wayanad,817420,401684,415736,645585,328136,317449,404460,234185,174453,61,312,1797,286,1866,266183,11805,277988
591,KERALA,Kozhikode,3086293,1470942,1615351,2615443,1266939,1348504,1734958,1211131,131516,297,235,601,588,6967,323793,666543,990336
592,KERALA,Malappuram,4112920,1960328,2152592,3311315,1597404,1713911,1135259,2888849,81556,205,179,68,579,6225,634543,522586,1157129
593,KERALA,Palakkad,2809934,1359478,1450456,2239492,1122600,1116892,1875980,812936,114397,220,238,78,400,5685,665899,228442,894341
594,KERALA,Thrissur,3121200,1480763,1640437,2678548,1282261,1396287,1823442,532839,757484,259,278,62,585,6251,336748,715119,1051867
595,KERALA,Ernakulam,3282388,1619557,1662831,2855676,1425723,1429953,1509557,514397,1248137,860,614,1176,1083,6564,369694,804997,1174691
596,KERALA,Idukki,1108974,552808,556166,923010,471881,451129,541854,82206,481507,100,189,44,384,2690,391610,20823,412433
597,KERALA,Kottayam,1974551,968289,1006262,1749798,861592,888206,983598,126499,858608,204,358,83,565,4636,481967,196194,678161
598,KERALA,Alappuzha,2127789,1013142,1114647,1852797,890552,962245,1460447,224545,435056,268,146,74,311,6942,331419,392117,723536
599,KERALA,Pathanamthitta,1197412,561716,635696,1062553,499181,563372,681666,55074,456404,153,150,44,262,3659,414992,57848,472840
600,KERALA,Kollam,2635375,1246968,1388407,2240273,1074345,1165928,1697635,508500,421598,208,272,63,619,6480,523715,401415,925130
601,KERALA,Thiruvananthapuram,3301427,1581678,1719749,2785408,1354857,1430551,2194057,452915,630573,404,301,76,1082,22019,559293,609824,1169117
602,TAMIL NADU,Thiruvallur,3728104,1876062,1852042,2791721,1495711,1296010,3325823,143093,233633,1422,951,3693,530,18959,387237,732196,1119433
603,TAMIL NADU,Chennai,4646732,2335844,2310888,3776276,1968079,1808197,3751322,439270,358662,2851,2804,51708,1759,38356,0,1314125,1314125
604,TAMIL NADU,Kancheepuram,3998252,2012958,1985294,3013382,1611461,1401921,3537399,173785,256762,1620,990,4962,756,21978,438799,774705,1213504
605,TAMIL NADU,Vellore,3936331,1961688,1974643,2773928,1504355,1269573,3397857,414760,111390,676,438,3514,251,7445,653499,486801,1140300
606,TAMIL NADU,Tiruvannamalai,2464875,1235889,1228986,1626813,909803,717010,2294369,91636,66987,232,157,7898,110,3486,563102,147061,710163
607,TAMIL NADU,Viluppuram,3458873,1740819,1718054,2195776,1234479,961297,3174941,133896,138279,325,238,4032,278,6884,808042,159272,967314
608,TAMIL NADU,Salem,3482056,1781571,1700485,2285562,1285107,1000455,3326357,95487,53841,412,174,992,246,4547,572813,597539,1170352
609,TAMIL NADU,Namakkal,1726601,869280,857321,1176131,653312,522819,1673652,32483,16909,183,108,84,199,2983,370357,257127,627484
610,TAMIL NADU,Erode,2251744,1129868,1121876,1492662,828300,664362,2115455,76098,55899,435,148,639,157,2913,411286,432398,843684
611,TAMIL NADU,The Nilgiris,735394,360143,375251,569647,299447,270200,569477,78452,84610,338,382,910,87,1138,112126,151979,264105
612,TAMIL NADU,Dindigul,2159775,1080938,1078837,1481834,816180,665654,1879494,105012,169945,313,256,71,138,4546,443818,269724,713542
613,TAMIL NADU,Karur,1064493,528184,536309,727044,401726,325318,993666,53292,16483,115,29,7,79,822,212241,152420,364661
614,TAMIL NADU,Tiruchirappalli,2722290,1352284,1370006,2038981,1087765,951216,2279413,190964,246156,324,250,628,253,4302,452707,423020,875727
615,TAMIL NADU,Perambalur,565223,282157,283066,375823,208011,167812,521658,32702,10301,83,39,38,26,376,155413,33179,188592
616,TAMIL NADU,Ariyalur,754894,374703,380191,480604,269582,211022,708397,7942,37403,104,88,65,42,853,223955,30322,254277
617,TAMIL NADU,Cuddalore,2605914,1311697,1294217,1815281,1000322,814959,2391675,123749,83334,401,236,1280,138,5101,497429,260780,758209
618,TAMIL NADU,Nagapattinam,1616450,798127,818323,1213008,640916,572092,1435072,128617,47579,184,450,963,110,3475,399016,118724,517740
619,TAMIL NADU,Thiruvarur,1264277,626693,637584,946471,503085,443386,1132785,96092,33192,258,151,279,64,1456,321331,86848,408179
620,TAMIL NADU,Thanjavur,2405890,1182416,1223474,1790998,944264,846734,2075870,190814,133971,231,795,1256,148,2805,479070,274302,753372
621,TAMIL NADU,Pudukkottai,1618345,803188,815157,1110545,608776,501769,1428784,114194,72850,119,81,32,293,1992,399712,104229,503941
622,TAMIL NADU,Sivaganga,1339101,668672,670429,959744,526304,433440,1186078,74310,75481,150,80,109,24,2869,309224,143193,452417
623,TAMIL NADU,Madurai,3038252,1526475,1511777,2273430,1223810,1049620,2760502,168881,97711,520,199,1532,305,8602,417718,592723,1010441
624,TAMIL NADU,Theni,1245899,625683,620216,870080,479403,390677,1148990,56751,37574,152,79,28,74,2251,189328,221295,410623
625,TAMIL NADU,Virudhunagar,1942288,967709,974579,1398788,760375,638413,1822626,47838,67405,245,87,98,75,3914,363782,370942,734724
626,TAMIL NADU,Ramanathapuram,1353445,682658,670787,978946,536487,442459,1047411,208038,91139,154,86,29,36,6552,290478,126761,417239
627,TAMIL NADU,Thoothukkudi,1750176,865021,885155,1349697,703106,646591,1373920,80740,291908,127,286,53,112,3030,336078,300661,636739
628,TAMIL NADU,Tirunelveli,3077233,1520912,1556321,2273457,1210710,1062747,2425630,303368,342254,268,373,144,450,4746,547962,516705,1064667
629,TAMIL NADU,Kanniyakumari,1870374,926345,944029,1548738,780541,768197,909872,78590,876299,160,438,156,10,4849,104253,493788,598041
630,TAMIL NADU,Dharmapuri,1506843,774303,732540,917709,527599,390110,1452956,38304,14089,164,39,37,87,1167,396819,91107,487926
631,TAMIL NADU,Krishnagiri,1879809,960232,919577,1187958,667062,520896,1723737,115303,35956,468,121,373,221,3630,437988,142552,580540
632,TAMIL NADU,Coimbatore,3458045,1729297,1728748,2635907,1394790,1241117,3044145,211035,190314,1112,435,3284,237,7483,284795,884957,1169752
633,TAMIL NADU,Tiruppur,2479052,1246159,1232893,1760566,959623,800943,2278835,123983,70015,455,198,371,119,5076,356886,538022,894908
634,PONDICHERRY,Yanam,55626,27301,28325,39274,19919,19355,53537,1191,873,3,1,4,4,13,0,15519,15519
635,PONDICHERRY,PONDICHERRY,950289,468258,482031,726649,380946,345703,855294,32674,58328,245,366,1328,147,1907,87296,203741,291037
636,PONDICHERRY,Mahe,41816,19143,22673,36470,16610,19860,27940,12856,958,3,21,14,3,21,0,12110,12110
637,PONDICHERRY,Karaikal,200222,97809,102413,154916,79903,75013,152638,28835,18391,46,63,54,14,181,35618,33715,69333
638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842,20727,16115,25332,15397,9935,8681,1336,26077,343,119,0,248,38,15958,0,15958
639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597,54861,50736,78683,43186,35497,81163,2165,21870,77,84,4,47,187,39091,1094,40185
640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142,127283,110859,190266,105794,84472,174452,28912,33037,866,135,27,269,444,34901,50631,85532
