District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Households
343,WEST BENGAL,South Twenty Four Parganas,8161961,4173778,3988183,5531657,3043277,2488380,5155545,2903075,66498,2783,2494,972,6065,24529,1568802,611430,2180232
344,WEST BENGAL,Paschim Medinipur,5913457,3007885,2905572,4078412,2266913,1811499,5056953,620554,23287,2854,2019,1550,184278,21962,1364335,201048,1565383
345,WEST BENGAL,Purba Medinipur,5095875,2629834,2466041,3923194,2149073,1774121,4343972,743436,2648,746,317,574,359,3823,1193006,170707,1363713
346,JHARKHAND,Garhwa,1322784,683575,639209,653476,405161,248315,1104475,194680,17168,123,371,20,4591,1356,272872,19180,292052
347,JHARKHAND,Chatra,1042886,533935,508951,510061,303902,206159,903179,116710,6565,888,35,129,12936,2444,200974,14528,215502
348,JHARKHAND,Kodarma,716259,367222,349037,390249,238780,151469,605138,107018,1221,944,32,980,269,657,116714,34771,151485
349,JHARKHAND,Giridih,2445474,1258098,1187376,1253475,783736,469739,1856202,508586,14645,937,650,1503,59218,3733,452564,46886,499450
350,JHARKHAND,Deoghar,1492073,775022,717051,793538,489837,303701,1165140,302626,6027,143,188,282,16067,1600,257373,64337,321710
351,JHARKHAND,Godda,1313551,677927,635624,604519,376212,228307,937126,289182,37795,97,128,115,47067,2041,276454,15576,292030
352,JHARKHAND,Sahibganj,1150567,589391,561176,483263,287303,195960,628044,398243,83208,198,245,125,38426,2078,223450,37543,260993
353,JHARKHAND,Pakur,900422,452661,447761,352881,206989,145892,410127,322963,75865,356,283,222,88760,1846,200588,16587,217175
354,JHARKHAND,Dhanbad,2684487,1405956,1278531,1722204,1014950,707254,2149480,431762,11243,9727,331,1268,77182,3494,258764,405455,664219
355,JHARKHAND,Bokaro,2062330,1072807,989523,1273520,759088,514432,1636460,241451,13730,4174,1890,2045,160524,2056,250312,258452,508764
356,JHARKHAND,Lohardaga,461790,232629,229161,259707,149568,110139,112378,95012,16770,51,33,15,235987,1544,96759,14725,111484
357,JHARKHAND,Purbi Singhbhum,2293919,1176902,1117017,1507699,856526,651173,1550178,203999,30172,38544,892,1670,465367,3097,262537,342126,604663
358,JHARKHAND,Palamu,1939869,1006302,933567,1024563,621706,402857,1683169,238295,6164,734,188,284,5681,5354,355529,52375,407904
359,JHARKHAND,Latehar,726978,369666,357312,350682,209706,140976,473049,69808,47653,120,128,16,133525,2679,146377,14137,160514
360,JHARKHAND,Hazaribagh,1734495,890881,843614,1013249,596113,417136,1397227,281247,17137,1312,71,1676,34154,1671,312983,68765,381748
361,JHARKHAND,Ramgarh,949443,494230,455213,596497,350031,246466,774251,129037,7260,5093,69,537,32378,818,134067,118558,252625
362,JHARKHAND,Dumka,1321442,668514,652928,672409,406275,266134,1044726,106865,86404,234,267,162,78622,4162,303697,23281,326978
363,JHARKHAND,Jamtara,791042,404830,386212,426312,258260,168052,550560,164406,4419,520,118,783,68564,1672,165555,20113,185668
364,JHARKHAND,Ranchi,2914253,1494937,1419316,1911433,1085244,826189,1612239,410759,193974,4826,932,2733,677445,11345,420740,310242,730982
365,JHARKHAND,Khunti,531885,266335,265550,284575,164741,119834,138863,13122,136438,69,245,148,241292,1708,123245,12474,135719
366,JHARKHAND,Gumla,1025213,514390,510823,559720,321795,237925,309563,51429,202449,221,531,23,457468,3529,216629,16445,233074
367,JHARKHAND,Simdega,599578,300309,299269,343483,191991,151492,201524,15103,306601,51,753,114,73930,1502,144169,11114,155283
368,JHARKHAND,Pashchimi Singhbhum,1502338,749385,752953,727561,439273,288288,423937,38103,87587,946,389,52,945864,5460,336928,63396,400324
369,JHARKHAND,Saraikela-Kharsawan,1065056,544411,520645,612993,365332,247661,709016,63588,8113,1114,187,72,280469,2497,217248,68439,285687
370,ORISSA,Bargarh,1481255,749161,732094,983783,557217,426566,1459065,7527,11744,652,161,125,44,1937,411566,47395,458961
371,ORISSA,Jharsuguda,579505,296690,282815,405879,228092,177787,553587,12783,10462,1441,80,70,67,1015,103224,73962,177186
372,ORISSA,Sambalpur,1041099,526877,514222,703691,393192,310499,964188,20120,50637,2506,310,86,1117,2135,220697,94798,315495
